activity_id,user_id,first_name,last_name,gender,email,signup_date,state,subscription,activity_date,day_name,month,daily_listening_time,daily_streams
ACT000018,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-01-18,Saturday,January,2h 59m,59
ACT000019,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-01-19,Sunday,January,1h 55m,38
ACT000020,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-01-20,Monday,January,5h 0m,60
ACT000021,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-01-21,Tuesday,January,4h 32m,90
ACT000022,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-01-22,Wednesday,January,2h 45m,55
ACT000023,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-01-23,Thursday,January,5h 52m,70
ACT000024,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-01-24,Friday,January,5h 8m,102
ACT000025,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-01-25,Saturday,January,0h 59m,11
ACT000026,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-01-26,Sunday,January,4h 25m,53
ACT000027,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-01-27,Monday,January,5h 14m,78
ACT000028,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-01-28,Tuesday,January,0h 55m,11
ACT000029,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-01-29,Wednesday,January,4h 53m,58
ACT000030,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-01-30,Thursday,January,1h 0m,15
ACT000031,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-01-31,Friday,January,2h 39m,31
ACT000032,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-02-01,Saturday,February,3h 39m,43
ACT000033,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-02-02,Sunday,February,1h 43m,20
ACT000034,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-02-03,Monday,February,2h 0m,30
ACT000035,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-02-04,Tuesday,February,0h 49m,12
ACT000036,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-02-05,Wednesday,February,2h 40m,53
ACT000037,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-02-06,Thursday,February,0h 39m,7
ACT000038,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-02-07,Friday,February,5h 48m,69
ACT000039,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-02-08,Saturday,February,5h 30m,110
ACT000040,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-02-09,Sunday,February,3h 22m,50
ACT000041,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-02-10,Monday,February,3h 28m,41
ACT000042,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-02-11,Tuesday,February,3h 37m,72
ACT000043,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-02-12,Wednesday,February,5h 31m,82
ACT000044,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-02-13,Thursday,February,4h 18m,51
ACT000045,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-02-14,Friday,February,4h 0m,60
ACT000046,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-02-15,Saturday,February,2h 9m,43
ACT000047,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-02-16,Sunday,February,0h 17m,5
ACT000048,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-02-17,Monday,February,1h 6m,16
ACT000049,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-02-18,Tuesday,February,0h 51m,10
ACT000050,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-02-19,Wednesday,February,0h 57m,19
ACT000051,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-02-20,Thursday,February,4h 13m,63
ACT000052,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-02-21,Friday,February,3h 9m,47
ACT000053,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-02-22,Saturday,February,3h 22m,50
ACT000054,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-02-23,Sunday,February,2h 37m,31
ACT000055,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-02-24,Monday,February,0h 43m,8
ACT000056,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-02-25,Tuesday,February,3h 58m,47
ACT000057,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-02-26,Wednesday,February,5h 17m,63
ACT000058,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-02-27,Thursday,February,4h 37m,55
ACT000059,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-02-28,Friday,February,0h 41m,10
ACT000060,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-03-01,Saturday,March,4h 42m,70
ACT000061,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-03-02,Sunday,March,3h 16m,49
ACT000062,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-03-03,Monday,March,3h 44m,44
ACT000063,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-03-04,Tuesday,March,4h 36m,92
ACT000064,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-03-05,Wednesday,March,2h 18m,27
ACT000065,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-03-06,Thursday,March,3h 51m,57
ACT000066,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-03-07,Friday,March,5h 4m,76
ACT000067,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-03-08,Saturday,March,0h 33m,11
ACT000068,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-03-09,Sunday,March,1h 36m,24
ACT000069,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-03-10,Monday,March,3h 12m,64
ACT000070,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-03-11,Tuesday,March,5h 30m,66
ACT000071,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-03-12,Wednesday,March,4h 25m,88
ACT000072,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-03-13,Thursday,March,0h 50m,12
ACT000073,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-03-14,Friday,March,1h 24m,21
ACT000074,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-03-15,Saturday,March,1h 55m,23
ACT000075,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-03-16,Sunday,March,3h 4m,61
ACT000076,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-03-17,Monday,March,4h 35m,68
ACT000077,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-03-18,Tuesday,March,2h 45m,41
ACT000078,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-03-19,Wednesday,March,2h 14m,33
ACT000079,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-03-20,Thursday,March,4h 12m,84
ACT000080,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-03-21,Friday,March,0h 18m,6
ACT000081,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-03-22,Saturday,March,4h 6m,49
ACT000082,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-03-23,Sunday,March,2h 48m,42
ACT000083,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-03-24,Monday,March,3h 42m,55
ACT000084,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-03-25,Tuesday,March,3h 0m,36
ACT000085,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-03-26,Wednesday,March,1h 27m,17
ACT000086,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-03-27,Thursday,March,1h 12m,24
ACT000087,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-03-28,Friday,March,2h 24m,48
ACT000088,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-03-29,Saturday,March,1h 18m,15
ACT000089,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-03-30,Sunday,March,5h 11m,77
ACT000090,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-03-31,Monday,March,5h 47m,86
ACT000091,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-04-01,Tuesday,April,2h 54m,43
ACT000092,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-04-02,Wednesday,April,0h 45m,15
ACT000093,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-04-03,Thursday,April,3h 6m,62
ACT000094,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-04-04,Friday,April,1h 31m,22
ACT000095,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-04-05,Saturday,April,2h 31m,37
ACT000096,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-04-06,Sunday,April,1h 32m,18
ACT000097,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-04-07,Monday,April,0h 47m,9
ACT000098,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-04-08,Tuesday,April,0h 56m,14
ACT000099,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-04-09,Wednesday,April,2h 29m,37
ACT000100,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-04-10,Thursday,April,1h 50m,36
ACT000101,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-04-11,Friday,April,5h 12m,62
ACT000102,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-04-12,Saturday,April,4h 40m,70
ACT000103,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-04-13,Sunday,April,5h 39m,67
ACT000104,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-04-14,Monday,April,5h 27m,109
ACT000105,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-04-15,Tuesday,April,0h 11m,3
ACT000106,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-04-16,Wednesday,April,1h 37m,32
ACT000107,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-04-17,Thursday,April,5h 42m,85
ACT000108,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-04-18,Friday,April,4h 46m,95
ACT000109,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-04-19,Saturday,April,4h 35m,68
ACT000110,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-04-20,Sunday,April,5h 45m,115
ACT000111,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-04-21,Monday,April,1h 39m,19
ACT000112,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-04-22,Tuesday,April,4h 30m,90
ACT000113,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-04-23,Wednesday,April,0h 48m,12
ACT000114,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-04-24,Thursday,April,1h 32m,23
ACT000115,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-04-25,Friday,April,2h 35m,38
ACT000116,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-04-26,Saturday,April,4h 37m,55
ACT000117,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-04-27,Sunday,April,3h 59m,47
ACT000118,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-04-28,Monday,April,0h 54m,18
ACT000119,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-04-29,Tuesday,April,0h 53m,13
ACT000120,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-04-30,Wednesday,April,3h 55m,78
ACT000121,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-05-01,Thursday,May,0h 15m,5
ACT000122,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-05-02,Friday,May,4h 28m,89
ACT000123,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-05-03,Saturday,May,4h 1m,80
ACT000124,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-05-04,Sunday,May,0h 51m,17
ACT000125,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-05-05,Monday,May,3h 39m,73
ACT000126,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-05-06,Tuesday,May,3h 54m,46
ACT000127,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-05-07,Wednesday,May,0h 29m,7
ACT000128,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-05-08,Thursday,May,1h 59m,23
ACT000129,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-05-09,Friday,May,4h 58m,59
ACT000130,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-05-10,Saturday,May,1h 46m,35
ACT000131,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-05-11,Sunday,May,5h 48m,87
ACT000132,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-05-12,Monday,May,2h 19m,34
ACT000133,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-05-13,Tuesday,May,5h 37m,84
ACT000134,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-05-14,Wednesday,May,0h 35m,11
ACT000135,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-05-15,Thursday,May,3h 49m,45
ACT000136,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-05-16,Friday,May,3h 5m,61
ACT000137,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-05-17,Saturday,May,2h 58m,35
ACT000138,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-05-18,Sunday,May,3h 17m,49
ACT000139,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-05-19,Monday,May,0h 10m,3
ACT000140,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-05-20,Tuesday,May,0h 55m,11
ACT000141,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-05-21,Wednesday,May,4h 42m,56
ACT000142,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-05-22,Thursday,May,2h 39m,39
ACT000143,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-05-23,Friday,May,4h 34m,54
ACT000144,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-05-24,Saturday,May,0h 42m,14
ACT000145,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-05-25,Sunday,May,4h 12m,50
ACT000146,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-05-26,Monday,May,3h 12m,38
ACT000147,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-05-27,Tuesday,May,0h 52m,10
ACT000148,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-05-28,Wednesday,May,4h 45m,95
ACT000149,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-05-29,Thursday,May,1h 14m,24
ACT000150,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-05-30,Friday,May,1h 41m,33
ACT000151,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-05-31,Saturday,May,0h 56m,11
ACT000152,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-06-01,Sunday,June,1h 5m,21
ACT000153,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-06-02,Monday,June,5h 58m,119
ACT000154,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-06-03,Tuesday,June,0h 26m,5
ACT000155,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-06-04,Wednesday,June,0h 11m,2
ACT000156,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-06-05,Thursday,June,1h 14m,14
ACT000157,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-06-06,Friday,June,3h 26m,51
ACT000158,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-06-07,Saturday,June,0h 32m,8
ACT000159,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-06-08,Sunday,June,4h 31m,54
ACT000160,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-06-09,Monday,June,5h 42m,85
ACT000161,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-06-10,Tuesday,June,3h 59m,79
ACT000162,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-06-11,Wednesday,June,0h 50m,12
ACT000163,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-06-12,Thursday,June,5h 35m,111
ACT000164,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-06-13,Friday,June,1h 20m,16
ACT000165,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-06-14,Saturday,June,2h 5m,25
ACT000166,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-06-15,Sunday,June,4h 13m,50
ACT000167,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-06-16,Monday,June,0h 25m,6
ACT000168,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-06-17,Tuesday,June,3h 33m,42
ACT000169,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-06-18,Wednesday,June,1h 44m,20
ACT000170,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-06-19,Thursday,June,0h 40m,8
ACT000171,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-06-20,Friday,June,0h 22m,4
ACT000172,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-06-21,Saturday,June,2h 28m,37
ACT000173,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-06-22,Sunday,June,2h 18m,34
ACT000174,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-06-23,Monday,June,4h 0m,48
ACT000175,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-06-24,Tuesday,June,1h 23m,20
ACT000176,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-06-25,Wednesday,June,0h 52m,10
ACT000177,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-06-26,Thursday,June,5h 40m,85
ACT000178,U001,Harsh,Kumar,Male,harsh.kumar@gmail.com,2020-06-28,Uttar Pradesh,Free,2025-06-27,Friday,June,4h 11m,50
